,id,name,is_closed,type,is_admin,admin_level,is_member,status,activity,photo_100,user_id,deactivated
0,58421306,Объединённый совет обучающихся НИЯУ МИФИ,0,page,1,3.0,1,Все студенческие новости МИФИ в одной группе!,Общественная организация,"https://sun1-97.userapi.com/impf/c625317/v625317437/3f06d/HpNuozSW2Fw.jpg?size=100x0&quality=96&crop=53,355,410,410&sign=ede11c63ff4ae23e2d573f6102ca7d4b&c_uniq_tag=O-t00iSHM9ckpZB_K4RlgA2I7NGSFEF63pDqA4LI4EI&ava=1",213037282,
1,127643835,ИИКС НИЯУ МИФИ,0,page,0,,1,Запрограммируй свое будущее! 👩‍💻👨‍💻,Институт,"https://sun1-85.userapi.com/impg/bZct5uvtXr48f9NE7oaWyiHSYTtJ0paCN27uZA/dKkjLyvNrXA.jpg?size=100x0&quality=96&crop=0,0,2160,2160&sign=8fba1b1faeb3cd8fe0bad398c2931dd6&c_uniq_tag=N7MNDbTWQKl2vxzJn34tn1cKWxtS2ViXV6r6rkEwUjA&ava=1",213037282,
2,72495085,/dev/null,0,page,0,,1,Айтишные покеки,Программирование,"https://sun1-85.userapi.com/impg/c855320/v855320322/1cd645/c6fFzhemYFw.jpg?size=100x0&quality=88&crop=0,0,789,789&sign=9ad5af7ad39f1b6d81966f420eea3fd7&c_uniq_tag=PSUirnk9z3d6fvNTZv181dexipPnEBbx3T_-uAwdf7g&ava=1",213037282,
3,90552903,Москва Live,0,page,0,,1,Лучшее о Москве!,Городское сообщество,"https://sun1-93.userapi.com/impf/c624924/v624924440/48857/ZjYYZFJ3GAk.jpg?size=100x0&quality=96&crop=0,0,604,604&sign=3e10e4a922c29788332ea0a495df321e&c_uniq_tag=XYK5qel2iiwF4JV07Xa_7Iap9sSwzgGHeLbPDz-h-ss&ava=1",213037282,
4,54277047,Студенческое научное общество НИЯУ МИФИ,0,page,0,,1,Разожжем в тебе научную искру.,Образование,"https://sun1-86.userapi.com/impf/c840331/v840331400/64ef6/YD94RsrjMdg.jpg?size=100x0&quality=88&crop=283,0,1861,1861&sign=7172e7763bf70483cde853a8d87d4842&c_uniq_tag=5k78s2xm7a7bxVcDsniy3M4DUWG0exZYgSt-KQiZNmA&ava=1",213037282,
5,58079665,Совет общежитий НИЯУ МИФИ,0,page,0,,1,Каждый день делаем жизнь в общежитиях лучше!,Молодёжное движение,"https://sun1-85.userapi.com/impf/c844617/v844617155/185b45/bRtnAZj-aUM.jpg?size=100x0&quality=96&crop=347,0,1853,1853&sign=8422445ae19fe68cf031c8efc32bcce2&c_uniq_tag=btOyw7_7FJoYq_aJH-9idkNFbbVPTjha4nH2oP4OHAs&ava=1",213037282,
6,43215063,Киномания ► Новинки 2020,0,page,0,,1,Смотрите лучшие фильмы 😉,Кино,"https://sun1-18.userapi.com/impg/RRzK2W9ksJGqPwGrTEaIIq2vnIa47lGWm4-u8A/Su9wb7Ww3vg.jpg?size=100x0&quality=96&crop=240,304,1048,1048&sign=3cf19b1664dc6eed89d08f9946bd44bb&c_uniq_tag=vVr0r7qseeKXogyr7WDIJY_MyellfZVon-DmOQjOSaU&ava=1",213037282,
7,125553684,«Будь в курсе» | Медиацентр НИЯУ МИФИ,0,page,0,,1,Студенческий Медиацентр НИЯУ МИФИ,Молодёжное движение,"https://sun1-18.userapi.com/impg/c858016/v858016671/153975/1xd5uDeylrc.jpg?size=100x0&quality=96&crop=0,0,591,591&sign=02f8bcdb4172d11634b3b9643243c6db&c_uniq_tag=jOjP97S04viIgOAV7cxJSxcGUygcgUOj5KkkdGYdtK4&ava=1",213037282,
8,46006621,ИФТЭБ НИЯУ МИФИ (ИФЭБ НИЯУ МИФИ),0,group,0,,1,,Открытая группа,"https://sun1-22.userapi.com/impf/c857124/v857124941/54c2b/Gz78YArAXBE.jpg?size=100x0&quality=88&crop=0,0,476,476&sign=cd2c023c431e1f96226828541f45b50f&c_uniq_tag=krxnq2C6wW1CP1Avx6toOxuUoQ5_lRL2tgK3M3pb6cY&ava=1",213037282,
9,44743077,Москва: Инструкция по применению,0,page,0,,1,Лучшее о Москве,Городское сообщество,"https://sun1-16.userapi.com/impg/c857320/v857320902/15a00f/t_k2J98aKw4.jpg?size=100x0&quality=96&crop=12,17,330,330&sign=22472bf8612c84c584ba3c538a10ce9b&c_uniq_tag=Cw3mdM56foByhOjFg43RfEUGAs0qt3wtqvGcAjOnSKI&ava=1",213037282,
